Headline,Generated_Expression,Generation_Method,First_Selection,Final_Selection,Hugo_Syntax,Hugo_Relatedness,Hugo_Fun,Rui_Syntax,Rui_Relatedness,Rui_Fun
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"a tv do menino
",Comp_Vec,BERT,TFIDFVectorizer,3,5,2,3,5,2
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"a tv é tua
",-,-,TFIDFVectorizer,3,5,2,3,3,2
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"que é feito dos alunos na cave
",Substitution,TFIDFVectorizer,TFIDFVectorizer,3,4,2,3,4,3
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"o gangue do nível
",Substitution,BERT,TFIDFVectorizer,3,4,2,3,2,1
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"o que fazemos nas televisões
",Substitution,TFIDFVectorizer,BERT,3,5,1,3,4,2
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"a tv das turmas
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer,3,5,1,3,4,1
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"do prato à turma perde-se a tv.
",Comp_Vec,BERT,BERT,3,4,1,3,4,2
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"a tv das tvs
",Analogy,TFIDFVectorizer,TFIDFVectorizer,3,3,1,3,3,2
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"o que me ficou da tv
",Analogy,BERT,TFIDFVectorizer,3,3,1,3,3,1
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"tv de globo, tarde de calmeiro.
",Analogy,BERT,BERT,3,3,1,3,3,2
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"a turma da senhora peregrine para tvs peculiares
",Comp_Vec,TFIDFVectorizer,BERT,3,3,1,3,4,2
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"se estiveres a ser rico, não te esqueças de que foste pobre.
",Substitution,BERT,BERT,3,2,1,3,1,1
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"a arca de noé foi construída por amadores; os profissionais construíram o titanic.
",-,-,BERT,3,2,1,3,2,1
Alunos e professores dizem que matéria transmitida na TV ficou aquém do nível das turmas,"o record do teu coração
",Analogy,TFIDFVectorizer,BERT,3,1,1,3,2,1
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","pode excluí o pobre sem esmola, mas não vai sem resposta.
",Comp_Vec,BERT,TFIDFVectorizer,2,4,3,2,4,2
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","quem exclui medo compra um cão.
",Comp_Vec,BERT,BERT,3,4,3,2,2,2
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","respeitai os bens dos outros, se quereis possuir os vossos tranquilamente.
",-,-,BERT,3,4,3,3,4,1
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","ninguém quer ser excluído nem morrer novo.
",Substitution,BERT,TFIDFVectorizer,3,5,2,3,4,2
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","ser ou não ser
",-,-,TFIDFVectorizer,3,5,2,3,4,2
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","quem exclui o que pode a mais não é excluído.
",Analogy,TFIDFVectorizer,TFIDFVectorizer,3,4,2,3,3,2
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","sê excluído de saber, e excluirás sábio.
",Analogy,BERT,BERT,3,4,2,3,4,2
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","o pão do pobre exclui sempre com a manteiga para baixo.
",Comp_Vec,TFIDFVectorizer,BERT,3,4,2,3,5,3
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","amigas, amor ... e bancos
",Substitution,TFIDFVectorizer,BERT,3,3,2,3,3,3
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","ninguém quer ser excluído nem excluí novo.
",Analogy,BERT,TFIDFVectorizer,2,4,1,2,4,2
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","ser ou não ser ... pode a questão
",Substitution,TFIDFVectorizer,TFIDFVectorizer,3,4,1,2,3,2
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","nalgum auxílio do excluído
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer,3,4,1,3,4,1
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","não me cortes o cabelo que meu pai me exclui
",Analogy,TFIDFVectorizer,BERT,3,3,1,3,3,3
"Auxílio dos acionistas privados na TAP não pode ser excluído, defende Frasquilho","maridos peraltas e mulheres particulares
",Substitution,BERT,BERT,3,2,1,3,4,3
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"paga o definido pelo pecador.
",Analogy,TFIDFVectorizer,TFIDFVectorizer,3,5,3,3,5,3
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"as linhas são como as cerejas, vêm umas atrás das outras.
",Substitution,BERT,TFIDFVectorizer,3,4,3,3,4,2
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"a arca de noé foi construída por amadores; os profissionais construíram o titanic.
",-,-,BERT,3,5,2,3,2,2
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"nem todas as circunstâncias se dizem.
",Substitution,TFIDFVectorizer,BERT,3,4,2,3,4,2
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"as definidas contas fazem os especificados amigos.
",Analogy,TFIDFVectorizer,BERT,3,4,2,3,4,2
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"o tempo é o melhor crédito de todas as coisas.
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer,3,4,2,3,4,2
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"definidos créditos entre vizinhos
",Comp_Vec,TFIDFVectorizer,BERT,3,4,2,3,3,2
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"vermelho nascente que definido descora, crédito de chuva que está p'ra demora.
",Comp_Vec,BERT,TFIDFVectorizer,3,4,2,3,3,1
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"a crédito roedor, cabresto definido.
",Comp_Vec,BERT,BERT,3,4,2,3,4,2
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"as linhas de torres
",-,-,TFIDFVectorizer,3,4,2,3,2,1
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"muito se engana quem considera.
",Substitution,BERT,BERT,3,3,2,3,2,1
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"as cidades e as condições
",Substitution,TFIDFVectorizer,TFIDFVectorizer,3,3,1,3,3,1
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"o almirante: correntes definidas
",Analogy,BERT,TFIDFVectorizer,3,3,1,3,4,2
Bancos dizem que as condições das linhas de crédito foram definidas pelo governo,"definido nascente que específico descora, tempo de chuva que está p'ra demora.
",Analogy,BERT,BERT,2,2,1,3,1,1
Bancos preparam-se para dar menos crédito às famílias,"bancos, bancos, créditos à parte.
",Comp_Vec,BERT,TFIDFVectorizer,3,5,3,3,5,3
Bancos preparam-se para dar menos crédito às famílias,"o crédito não tem lei.
",Comp_Vec,BERT,BERT,3,5,3,3,4,3
Bancos preparam-se para dar menos crédito às famílias,"bancos, bancos, negócios à parte.
",Substitution,BERT,TFIDFVectorizer,3,5,2,3,4,2
Bancos preparam-se para dar menos crédito às famílias,"a beleza está nos olhos de quem dá.
",Substitution,BERT,BERT,3,5,2,3,3,3
Bancos preparam-se para dar menos crédito às famílias,"há banco para tudo menos para a morte.
",Substitution,TFIDFVectorizer,TFIDFVectorizer,3,4,2,3,3,2
Bancos preparam-se para dar menos crédito às famílias,"há crédito para tudo menos para a morte.
",Analogy,TFIDFVectorizer,TFIDFVectorizer,3,4,2,3,3,2
Bancos preparam-se para dar menos crédito às famílias,"a cabeça não serve só para usar crédito.
",Analogy,BERT,TFIDFVectorizer,3,4,2,3,4,2
Bancos preparam-se para dar menos crédito às famílias,"dar a crédito o que é de crédito e a banco o que é de banco.
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer,3,4,2,3,4,1
Bancos preparam-se para dar menos crédito às famílias,"uma mão lava a outra e as duas lavam o banco.
",Comp_Vec,TFIDFVectorizer,BERT,3,4,2,3,5,3
Bancos preparam-se para dar menos crédito às famílias,"há remédio para tudo menos para a morte.
",-,-,TFIDFVectorizer,3,4,2,3,2,1
Bancos preparam-se para dar menos crédito às famílias,"crédito que dorme, vira bolsa.
",Analogy,BERT,BERT,3,3,2,3,4,3
Bancos preparam-se para dar menos crédito às famílias,"uma mão lava a outra e as duas lavam o fundo.
",Substitution,TFIDFVectorizer,BERT,3,2,2,3,4,2
Bancos preparam-se para dar menos crédito às famílias,"a escolha do prazo
",Analogy,TFIDFVectorizer,BERT,3,3,1,3,2,1
Bancos preparam-se para dar menos crédito às famílias,"do carvão aos resíduos: o regresso a são pedro da cova
",-,-,BERT,3,1,1,3,1,1
Desporto? Governo tomará decisões de forma a estar assegurada a segurança,"sê assegurado de saber, e tomarás sábio.
",Comp_Vec,BERT,TFIDFVectorizer,2,4,2,3,2,1
Desporto? Governo tomará decisões de forma a estar assegurada a segurança,"decisões de quem sou
",Substitution,TFIDFVectorizer,TFIDFVectorizer,3,4,2,3,2,2
Desporto? Governo tomará decisões de forma a estar assegurada a segurança,"falta país no teu olhar
",Substitution,TFIDFVectorizer,BERT,3,4,2,3,2,1
Desporto? Governo tomará decisões de forma a estar assegurada a segurança,"não se pode fazer a par - comer e tomar.
",Substitution,BERT,BERT,3,4,2,3,2,1
Desporto? Governo tomará decisões de forma a estar assegurada a segurança,"devemos tomar a opinião dos outros
",Analogy,TFIDFVectorizer,BERT,3,4,2,2,3,1
Desporto? Governo tomará decisões de forma a estar assegurada a segurança,"a nossa forma de vida
",-,-,TFIDFVectorizer,3,4,2,3,3,1
Desporto? Governo tomará decisões de forma a estar assegurada a segurança,"o governo de zombies
",Substitution,BERT,TFIDFVectorizer,3,3,2,3,3,3
Desporto? Governo tomará decisões de forma a estar assegurada a segurança,"o vinho faz bem aos homens quando são as mulheres que o tomam.
",Analogy,BERT,BERT,3,3,2,3,1,1
Desporto? Governo tomará decisões de forma a estar assegurada a segurança,"a assegurada mistomaria toma aquela que vem da preguiça.
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer,3,3,2,3,2,2
Desporto? Governo tomará decisões de forma a estar assegurada a segurança,"tomar por tomar, morra o meu pai que é mais assegurado.
",Comp_Vec,BERT,BERT,3,3,2,3,1,2
Desporto? Governo tomará decisões de forma a estar assegurada a segurança,"o bibliotecário: a maldição do cálice de judas
",-,-,BERT,3,3,2,3,1,1
Desporto? Governo tomará decisões de forma a estar assegurada a segurança,"cada um toma de si, e deus de todos.
",Analogy,TFIDFVectorizer,TFIDFVectorizer,3,3,1,2,2,2
Desporto? Governo tomará decisões de forma a estar assegurada a segurança,"não é assegurada o que toma pouco, senão o que cobiça muito.
",Comp_Vec,TFIDFVectorizer,BERT,3,3,1,3,4,2
Desporto? Governo tomará decisões de forma a estar assegurada a segurança,"quem te toma mal de outra pessoa, tomará mal de ti também.
",Analogy,BERT,TFIDFVectorizer,2,2,1,2,2,1
Europa prepara retoma gradual da atividade económica,"valete: continente de máscaras
",Substitution,TFIDFVectorizer,BERT,3,5,3,3,5,2
Europa prepara retoma gradual da atividade económica,"a boca do ambicioso só se fecha com terra de sepultura.
",-,-,BERT,3,5,3,3,4,2
Europa prepara retoma gradual da atividade económica,"a carne é económica.
",Substitution,BERT,TFIDFVectorizer,3,4,2,3,3,2
Europa prepara retoma gradual da atividade económica,"a vez da europa
",Analogy,BERT,TFIDFVectorizer,3,4,2,3,5,1
Europa prepara retoma gradual da atividade económica,"europa tem perna gradual.
",Comp_Vec,BERT,TFIDFVectorizer,3,4,2,3,4,3
Europa prepara retoma gradual da atividade económica,"da europa e da união
",Analogy,TFIDFVectorizer,TFIDFVectorizer,3,4,1,3,4,1
Europa prepara retoma gradual da atividade económica,"a melhor europa da história da união
",Analogy,TFIDFVectorizer,BERT,3,4,1,3,5,2
Europa prepara retoma gradual da atividade económica,"a gradual europa da história da televisão
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer,3,4,1,3,2,1
Europa prepara retoma gradual da atividade económica,"gente da minha terra - europa
",-,-,TFIDFVectorizer,3,4,1,3,5,1
Europa prepara retoma gradual da atividade económica,"gente da minha continente - europa
",Substitution,TFIDFVectorizer,TFIDFVectorizer,2,3,1,2,4,1
Europa prepara retoma gradual da atividade económica,"boa é a união, bom é o sável, bom é o salmão - quando dá sazão.
",Analogy,BERT,BERT,3,3,1,3,4,2
Europa prepara retoma gradual da atividade económica,"europeu de uma inspectora do livro de recordes
",Substitution,BERT,BERT,3,3,1,3,3,1
Europa prepara retoma gradual da atividade económica,"a europa da senhora peregrine para crianças graduais
",Comp_Vec,TFIDFVectorizer,BERT,3,3,1,2,2,1
Europa prepara retoma gradual da atividade económica,"gradual de uma inspectora do livro de recordes
",Comp_Vec,BERT,BERT,3,2,1,3,2,1
Finge ter Covid-19 no Facebook e acaba detido,"quem com ferro finge, com ferro será detido.
",Comp_Vec,BERT,TFIDFVectorizer,3,5,3,3,4,2
Finge ter Covid-19 no Facebook e acaba detido,"finge melhor quem finge por último.
",Analogy,BERT,TFIDFVectorizer,3,5,2,3,4,2
Finge ter Covid-19 no Facebook e acaba detido,"porque um dia acaba
",-,-,TFIDFVectorizer,3,5,2,3,5,2
Finge ter Covid-19 no Facebook e acaba detido,"fingi no deserto, é sermão detido.
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer,2,4,2,2,3,1
Finge ter Covid-19 no Facebook e acaba detido,"quem com ferro fere, com ferro será preso.
",Substitution,BERT,BERT,3,4,2,3,5,2
Finge ter Covid-19 no Facebook e acaba detido,"quem com ferro detém, com ferro será fingido.
",Comp_Vec,BERT,BERT,3,3,2,3,3,2
Finge ter Covid-19 no Facebook e acaba detido,"onde a vez acaba
",Substitution,TFIDFVectorizer,TFIDFVectorizer,3,4,1,3,5,2
Finge ter Covid-19 no Facebook e acaba detido,"que bem que se finge no campo
",Analogy,TFIDFVectorizer,TFIDFVectorizer,3,4,1,3,5,3
Finge ter Covid-19 no Facebook e acaba detido,"não detenho vivo nem morto, detenho aquilo que finge roto.
",Comp_Vec,TFIDFVectorizer,BERT,3,4,1,3,5,2
Finge ter Covid-19 no Facebook e acaba detido,"não se desconfie fingi em tudo
",Analogy,TFIDFVectorizer,BERT,2,3,1,2,2,2
Finge ter Covid-19 no Facebook e acaba detido,"terras de quem finjo
",Analogy,BERT,BERT,3,3,1,2,2,1
Finge ter Covid-19 no Facebook e acaba detido,"mais vale uma vista do dono, que cem brados do abegão.
",-,-,BERT,3,2,1,3,2,1
Finge ter Covid-19 no Facebook e acaba detido,nem por ter natal,Substitution,TFIDFVectorizer,BERT,3,1,1,3,1,1
Finge ter Covid-19 no Facebook e acaba detido,"um lado no burro e outro no cigano.
",Substitution,BERT,TFIDFVectorizer,3,1,1,3,2,2
GNR descontamina ambulâncias de todo o país,"ambulâncias da minha vida
",Substitution,BERT,TFIDFVectorizer,3,4,2,3,3,2
GNR descontamina ambulâncias de todo o país,"azeite de cima, autocarro do meio e vinho do fundo, não enganam o mundo.
",Analogy,BERT,BERT,3,4,2,3,1,1
GNR descontamina ambulâncias de todo o país,"ambulâncias, país ... e gatos
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer,3,4,2,3,4,2
GNR descontamina ambulâncias de todo o país,"ecos do país da ambulância
",Comp_Vec,TFIDFVectorizer,BERT,3,4,2,3,4,2
GNR descontamina ambulâncias de todo o país,"o país das ambulâncias cruzadas
",Comp_Vec,BERT,TFIDFVectorizer,3,4,2,3,4,2
GNR descontamina ambulâncias de todo o país,"a troca das ambulâncias
",Substitution,TFIDFVectorizer,TFIDFVectorizer,3,3,2,3,4,2
GNR descontamina ambulâncias de todo o país,"o governo do jardim
",Substitution,BERT,BERT,3,3,2,3,2,1
GNR descontamina ambulâncias de todo o país,"a ambulância: a viatura de um país
",Analogy,TFIDFVectorizer,TFIDFVectorizer,3,4,1,3,4,2
GNR descontamina ambulâncias de todo o país,"todo o hospital tem o seu preço.
",Substitution,TFIDFVectorizer,BERT,3,3,1,3,2,1
GNR descontamina ambulâncias de todo o país,"o caminhão de ambulâncias
",Analogy,BERT,TFIDFVectorizer,3,3,1,3,5,3
GNR descontamina ambulâncias de todo o país,"quem não tem ambulância, todo o mundo é seu.
",Analogy,TFIDFVectorizer,BERT,3,2,1,3,3,1
GNR descontamina ambulâncias de todo o país,"os países da minha ambulância
",Comp_Vec,BERT,BERT,3,2,1,3,3,2
GNR descontamina ambulâncias de todo o país,"de beirais para o país
",-,-,TFIDFVectorizer,3,2,1,3,2,1
GNR descontamina ambulâncias de todo o país,"a ignorância da lei não desculpa a ninguém.
",-,-,BERT,3,2,1,3,1,1
Governo decide futuro das competições de futebol,"bunker ou contos que ouvi depois do mundo acabar
",-,-,BERT,3,4,3,3,2,1
Governo decide futuro das competições de futebol,"a casa das competições
",Substitution,TFIDFVectorizer,TFIDFVectorizer,3,4,2,3,5,2
Governo decide futuro das competições de futebol,"e ainda a competição vai no adro
",Substitution,TFIDFVectorizer,BERT,3,4,2,3,4,2
Governo decide futuro das competições de futebol,"cada um decide de si, e deus de todos.
",Analogy,BERT,TFIDFVectorizer,3,4,2,3,3,1
Governo decide futuro das competições de futebol,"a palavra decide de competição e o silêncio decide de ouro.
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer,3,4,2,3,3,2
Governo decide futuro das competições de futebol,"fora de competição quem não decide de competição
",Comp_Vec,BERT,TFIDFVectorizer,3,4,2,3,5,1
Governo decide futuro das competições de futebol,"gala internacional de futebol
",-,-,TFIDFVectorizer,3,4,2,3,5,1
Governo decide futuro das competições de futebol,"de governo em governo a galinha enche o papo.
",Substitution,BERT,TFIDFVectorizer,3,3,2,3,5,3
Governo decide futuro das competições de futebol,"respeitai os bens dos outros, se decidir apressar os vossos tranquilamente.
",Analogy,BERT,BERT,3,3,2,3,2,1
Governo decide futuro das competições de futebol,"mais alto é aquele que mais decide.
",Analogy,TFIDFVectorizer,BERT,3,4,1,3,4,2
Governo decide futuro das competições de futebol,"o futuro a deus decide.
",Analogy,TFIDFVectorizer,TFIDFVectorizer,3,3,1,3,4,2
Governo decide futuro das competições de futebol,"a competição decide pernas curtas.
",Comp_Vec,BERT,BERT,3,3,1,3,3,3
Governo decide futuro das competições de futebol,"oh oposição, meu lar
",Substitution,BERT,BERT,3,2,1,3,2,1
Governo decide futuro das competições de futebol,"em dia de s. lourenço, decide à vinha e enche o lenço.
",Comp_Vec,TFIDFVectorizer,BERT,3,1,1,3,1,1
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","mágicas palavras e maus feitos, enganam sisudos e néscios.
",Analogy,BERT,TFIDFVectorizer,3,5,3,3,3,2
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","tragédia para a felicidade
",Substitution,TFIDFVectorizer,TFIDFVectorizer,3,5,2,3,5,2
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","há incerteza mágica, mas a educação é sempre pouca.
",Comp_Vec,BERT,TFIDFVectorizer,3,5,2,3,4,2
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","enquanto há vida há esperança.
",-,-,TFIDFVectorizer,3,5,2,3,4,2
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","não há palavras sem espinhos.
",Substitution,BERT,TFIDFVectorizer,3,4,2,3,4,1
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","era uma vez um desastre
",Substitution,BERT,BERT,3,4,2,3,2,2
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","marchas mágicas de incerteza
",Comp_Vec,TFIDFVectorizer,TFIDFVectorizer,3,4,2,3,5,2
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","incerteza comprida, mentira maior.
",Comp_Vec,BERT,BERT,3,3,2,3,4,2
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","a vida é mágicas
",Analogy,TFIDFVectorizer,TFIDFVectorizer,2,4,1,2,3,2
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","mas se está claro, cheio de luz, haja alegria, que o tempo é de truz.
",-,-,BERT,3,4,1,3,3,1
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","na magia de mágicos
",Analogy,TFIDFVectorizer,BERT,3,3,1,3,2,2
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","missão impossível: criatura mágica
",Analogy,BERT,BERT,3,2,1,3,2,2
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","alentejanos, mágicos e cães de caça, é tudo da mesma incerteza.
",Comp_Vec,TFIDFVectorizer,BERT,3,2,1,3,2,3
"Há três palavras mágicas para o que vivemos: tragédia, incerteza e esperança","duas histórias de vítima
",Substitution,TFIDFVectorizer,BERT,3,1,1,3,3,1
Homem barrica-se após atacar uma empregada de limpeza com catana em Lisboa,"uma aventura em lisboa
",-,-,TFIDFVectorizer,3,5,3,3,4,2
Homem barrica-se após atacar uma empregada de limpeza com catana em Lisboa,"receia-se menos um bravo em cólera, que um cobarde que dissimula.
",-,-,BERT,3,5,2,3,4,2
Homem barrica-se após atacar uma empregada de limpeza com catana em Lisboa,"do catanas já não caem lágrimas
",Comp_Vec,TFIDFVectorizer,BERT,3,4,2,3,4,3
