News Title,Proverb,Similarity level
"Emissões atmosféricas aumentaram em 2017
","o caldo em quente, a injúria em frio.
",0.11649867518825313
"FMI quer impostos mais altos no carbono e avisa que fatura da energia tem de aumentar
","quem mais tem mais quer.
",0.2701712252752796
"‘Fatura do Ambiente’ revela que potencial de aquecimento global é maior que a atividade económica
","quanto maior é a nau, maior é a tormenta.
",0.19779019658583624
"""Em 2017 o potencial de aquecimento global aumentou 6,9% em Portugal""
","o caldo em quente, a injúria em frio.
",0.18003544893107382
"""Como substituir o plástico descartável? Solução é reutilizar, diz Zero""
","o que não tem solução, solucionado está.
",0.20668005128291111
"Dezenas de milhares de pessoas em protesto pelo clima na Europa e na Ásia
","geada na lama água na cama.
",0.20933319760805982
"Produção de combustíveis fósseis cresce 50% acima do necessário para travar aquecimento global
","antes de tudo julgar, é necessário conhecer.
",0.15716435407835083
"Ponto por ponto. Tudo o que está em causa na cimeira do clima em Madrid
","quem conta um conto, acrescenta um ponto.
",0.26251512534219107
"Pretende reduzir as emissões de gases de efeito estufa? Esteja atento às tecnologias digitais
","às três é de vez.
",0.20228614714519305
"Temperatura da Terra vai subir mesmo que compromissos sejam cumpridos
","quem vai ao mar avia-se em terra.
",0.17541745694527666
"Parlamento Europeu declara “emergência climática e ambiental”
","a abelha não leva chumbo.
",0.0
"""Quanto mais a Amazónia arde, mais derrete o gelo dos Andes""
","quanto mais depressa, mais devagar.
",0.3306901142771427
"Milhares de jovens juntam-se em Lisboa em defesa do clima
","a melhor defesa é o ataque.
",0.2070597857312566
"Do clima ao Brexit: os desafios da Comissão Von der Leyen
","se a vida lhe der um limão, faça uma limonada.
",0.13657403950681682
"Greve global: Esperados mais de 100 mil manifestantes nas ruas de 153 paises em defesa do planeta
","em abril, águas mil.
",0.17311476391604072
"Lisboa vai plantar 20 mil árvores e preparar-se para as alterações climáticas
","dinheiro não nasce nas árvores.
",0.1872149830655322
"O antes e depois do degelo nos glaciares da Suíça
","mais vale uma palavra antes que duas depois.
",0.24312723691682508
"Cientistas alertam que vários dos “piores cenários climáticos” já estão a acontecer
","não desespera quem já nada espera, porque já não tem inquietações.
",0.1653397493448779
"""Até 2030 o mundo tem de reduzir anualmente 7,6% das suas emissões de gases de estufa""
","cachorro mordido de cobra, tem medo até de barbante.
",0.2235201089160868
"Ciclones tropicais vão ser cada vez mais frequentes na Europa
","os vivos são sempre e cada vez mais governados pelos mais vivos.
",0.19821511954836074
"A Terra Inabitável. Quando o terror é a reacção adequada
","quando a passarada berra, o marinheiro procura terra.
",0.17772982676516902
"Urgência climática: OCDE quer que doadores parem de subsidiar combustíveis fósseis nos países em desenvolvimento
","quem diz o que quer, ouve o que não quer.
",0.1578477186938144
"Canal de Suez faz 150 anos ameaçado pela rota num Ártico sem gelo
","sem nuvens o céu e estrelas sem brilho verás que a tormenta te põe num sarilho.
",0.15350140907059892
"Clima: portugueses acreditam que protestos podem gerar novas políticas
","barcos virão, novas trarão.
",0.16060831141331394
"“Ainda não é demasiado tarde para salvarmos os oceanos”
","saber demasiado é envelhecer precocemente.
",0.22219091909020977
"Nações Unidas alertam que temperatura do planeta vai aumentar
","quem vai, vai, quem está, está.
",0.1417419545338604
"A 29 de Novembro há nova Greve Climática Estudantil — para inaugurar a “época de ouro do activismo”
","ouro é o que ouro vale.
",0.23059272933262978
"Clima – 10 resoluções para 2020
","quem não é para comer, não é para trabalhar.
",0.1504482388481365
"Nova meta de inflação e combate ao aquecimento global. O BCE redefine a sua missão
","quem mais não pode, de sua mazela morre.
",0.12646620630662986
"Nível atual de emissão de gases vai elevar a temperatura mais três graus
","às três é de vez.
",0.1864495694718681
"Malásia devolve 150 contentores ilegais de lixo a países desenvolvidos
","quem faz de si, lixo, pisam-no as galinhas.
",0.17622700087852544
"Relógio do Apocalipse coloca humanidade a 100 segundos do fim
","mais vale o calar do mundo, que o falar do mentiroso.
",0.15692950806390144
"""Tempestade """"Glória"""" fez 12 mortos em Espanha. Governo culpa alterações climáticas""
","a culpa morre solteira.
",0.17913962378540607
"Impacto mais antigo de um asteroide na Terra ocorreu na Austrália há 2.229 milhões de anos
","mais vale um gosto na vida que seis reis na algibeira.
",0.22390546689003984
"Atuais emissões de gases vão provocar aumento de três graus nas temperaturas
","mulher que nas juras de homem se fia, chora de noite e de dia.
",0.18642341365352366
"Quer combater o aquecimento global? Plante uma árvore
","quem quer faz, quem não quer manda.
",0.1895196973714856
"Veredicto abre a porta a protecção para “refugiados climáticos”
","abre o olho, que assam carne.
",0.2016044612266485
"PAN propõe fim da isenção do imposto do petróleo para avião e barcos
","barcos virão, novas trarão.
",0.14792994543889235
"Judoca Jorge Fonseca galardoado com o prémio Ética no Desporto de 2019
","com um olho no burro e o outro no cigano.
",0.14171115296931924
"Paulo Gonçalves condecorado a título póstumo com Colar de Honra ao Mérito Desportivo
","o ódio dos maus, honra o homem de bem.
",0.1507955323570303
"Judocas Jorge Fonseca e Patrícia Sampaio eleitos atletas do ano na Gala do Desporto
","mais vale o calar do mundo, que o falar do mentiroso.
",0.1339074320895118
"Óculos de natação com realidade aumentada
","se não vejo pelos meus olhos, vejo pelos meus óculos.
",0.1285190174554042
"De pequenino se começa a rolar no primeiro skatepark do Porto
","de manhã é que começa o dia.
",0.24057115548696822
"Única medalhada do Irão desertou: “Sou uma de milhões de mulheres oprimidas”
","não sou rio, para não voltar atraz.
",0.1481732771826684
"Reações à morte do ""Speedy"", o altruísta que parou para ajudar um rival no deserto
","pregar no deserto, é sermão perdido.
",0.20434905407618048
"Magia dos patins faz a Oliveirense crescer no hóquei
","o que se não faz no dia da romaria, faz-se no outro dia.
",0.19733192438871677
"Kobe Bryant, o fim trágico de uma estrela
","uma mulher é sempre uma interrogação.
",0.1741969304313912
"Presidente da federação de Andebol diz que Tóquio2020 seria ""topo do topo""
","ninguém seria vendeiro, se não fosse o dinheiro.
",0.14031956153296543
"Mais rápido, mais alto, mais forte. Um calendário para homenagear os paralímpicos
","mais alto é aquele que mais tem.
",0.4153815500701209
"Seleção portuguesa de andebol recebida com fortes aplausos na chegada a Lisboa
","geada na lama água na cama.
",0.11094778134139476
"Atletas de 22 nacionalidades correram na Meia Maratona Manuela Machado
","a bom entendedor, meia palavra basta.
",0.14411216243381894
"Paulo Gonçalves. Uma vida de suor dedicada a correr na areia em imagens
","mais vale um gosto na vida que seis reis na algibeira.
",0.16985733436778352
"Queda impressionante de jogador interrompe Benfica-F.C. Porto em basquetebol
","quanto mais alto, maior é a queda.
",0.18265645379575615
"Ford experimenta um novo combustível: óleo de cozinha
","cozinha sem salsa é como jarra sem flores.
",0.15481244312822307
"Escócia terá energia 100% renovável até ao final de 2020
","até ao lavar dos cestos é vindima.
",0.15781593777966413
"Em Idanha-a-Nova vai crescer um aldeamento sustentável para viver ou visitar
","come para viver, não vivas para comer.
",0.21441689729559274
"Um museu temporário para mudar comportamentos para sempre
","quem não é para comer, não é para trabalhar.
",0.2613799999937061
"Destruídos 41 mil ninhos de vespa-asiática em cinco anos
","em abril, águas mil.
",0.21900276023404844
"""Não é com mais barragens"" que se resolve falta de água, mas também pode ser
","quem pode o mais pode o menos.
",0.291625615102669
"ONU critica inação no Pinhal de Leiria
","um olho no burro e outro no cigano.
",0.13099181748961822
"O vírus não precisa de passaporte
","quem serve bem seus pais, não precisa de avós.
",0.2777090627625224
"Ministro do Ambiente apoia central de dessalinização no Algarve
","um olho no burro e outro no cigano.
",0.11828472035812575
"O “Brexit”, a geopolítica atlântica e a macrorregião europeia peninsular
","a abelha não leva chumbo.
",0.0
"E que tal usar flores, vermes e estrume para reduzir a poluição das águas?
","tal pai, tal filho.
",0.25979703836014567
"Investigador sugere que os OVNIs são pilotados por humanos do futuro
","o futuro a Deus pertence.
",0.22111095721691776
"Proteção de dados pessoais é condição da dignidade.
","foge o diabo da cruz e o morcego da luz.
",0.12550716099258913
"Nível atual de emissão de gases vai elevar a temperatura mais três graus
","às três é de vez.
",0.1864495694718681
"Máscaras esgotam nas farmácias, das mais simples às mais elaboradas
","quem mais tem mais quer.
",0.23857323624324758
"Médicos fazem exames desportivos à pressão e a troco de 2,3 euros por consulta
","os anos não fazem sábios, fazem velhos.
",0.1730115148681289
"Auriol Dongmo fixa novo recorde de Portugal no peso feminino
","peso e medida, tiram o homem de fadiga.
",0.18032864875544008
"Paulo Conceição com novo recorde de Portugal no salto em altura
","de Santa Luzia ao Natal, um salto de pardal, de Natal a Janeiro, um salto de carneiro.
",0.23168200887537022
"Kobe Bryant: Eternidade chegou depressa de mais a quem nasceu para se tornar uma lenda
","quem nasceu para burro nunca chega a cavalo.
",0.22468076172068047
"As fotografias da vida em Fukushima — nove anos depois do desastre nuclear
","depois da tempestade vem a bonança.
",0.17605270961307443
"Missão Paralímpica Tóquio2020 prepara atletas para participação ao mais alto nível
","quanto mais alto se sobe de mais alto se cai.
",0.23810882772645606
"Portugal vence Bélgica e aproxima-se da manutenção no ‘Championship’ de râguebi
","quem cala, vence.
",0.22278213493499965
"Choque mundial do coronavírus. Bolsas perdem 1% em janeiro e juros da dívida em queda
","em Janeiro, sete capelos e um sombreiro.
",0.16800508060529412
"Investimento em fundos sustentáveis dispara
","o caldo em quente, a injúria em frio.
",0.11649867518825313
"Países “não estão preparados” para crises de saúde pública
","o trabalho dá saúde.
",0.21974550899222073
"Corona vírus: Uma infeção que constipa as economias
","uma mulher é sempre uma interrogação.
",0.17029358023038543
"Mundo fecha as portas a viajantes da China com receio do coronavírus
","a boca do ambicioso só se fecha com terra de sepultura.
",0.2142342293792284
Todos no planeta (afinal) temos um pouco de neandertal,"de sábio e de louco todos temos um pouco.
",0.4625615596471307
