Título de Notícia,Jaccard,CountVectorizer,TFIDFVectorizer,WE+Glove,WE+Glove+TFIDF,WE+FT,WE+FT+TFIDF,BERT
"Emissões atmosféricas aumentaram em 2017
",em Julho fazer vasculho.,"o caldo em quente, a injúria em frio.","o caldo em quente, a injúria em frio.","em abril, águas mil.","nuvens pequenas, altas e escuras são chuvas certas e seguras.",em Julho fazer vasculho.,"em abril, águas mil.",em boca fechada não entram moscas.
"FMI quer impostos mais altos no carbono e avisa que fatura da energia tem de aumentar
",mais vale um pássaro na mão do que dois a voar.,quem mais tem mais quer.,quem mais tem mais quer.,"a boa fé é uma moeda, que quase não tem curso no comércio da vida.","quanto mais alto, maior é a queda.",quem tem telhado de vidro não atira pedras ao do vizinho.,"quem ovos vende e galinhas não tem, de algum lado eles vêm.",há ocasiões em que o coração vê melhor que os olhos.
"‘Fatura do Ambiente’ revela que potencial de aquecimento global é maior que a atividade económica
",a maior virtude dos que falam é calar o que não devem dizer.,mais vale um que bem mande do que dois que mal façam.,"quanto maior é a nau, maior é a tormenta.",dar a César o que é de César e a Deus o que é de Deus.,"a boa fé é uma moeda, que quase não tem curso no comércio da vida.",dar a César o que é de César e a Deus o que é de Deus.,"vermelho nascente que pronto descora, tempo de chuva que está p'ra demora.","o homem mais independente é, ainda, escravo do ar que respira."
"""Em 2017 o potencial de aquecimento global aumentou 6,9% em Portugal""
","no Natal, passadinha de Natal.","o caldo em quente, a injúria em frio.","o caldo em quente, a injúria em frio.","nas empresas arrojadas, o êxito depende do primeiro impulso.",na confiança está o perigo.,em Junho foucinha no punho.,em Julho fazer vasculho.,em Outubro manda o boi para o palheiro e o barco para o muro.
"""Como substituir o plástico descartável? Solução é reutilizar, diz Zero""
",o amor é cego.,a conversa é como as cerejas.,"o que não tem solução, solucionado está.",o pior cego é aquele que não quer ver.,viver é como desenhar sem borracha.,é sempre o burro que fala.,ninguém quer ser velho nem morrer novo.,"poente nubloso, vermelho acobreado safa a japona, que o tempo é molhado."
"Dezenas de milhares de pessoas em protesto pelo clima na Europa e na Ásia
","mal por mal, antes na cadeia do que no hospital.","em casa de ferreiro, espeto de pau.",geada na lama água na cama.,"desconfiai de vós, dos homens e do mundo, mas confiai em Deus.","desconfiai de vós, dos homens e do mundo, mas confiai em Deus.","zombai do tolo em casa, zombará convosco na praça.","em terra de sapos, de cócoras como eles.",aos olhos da inveja todo o sucesso é crime.
"Produção de combustíveis fósseis cresce 50% acima do necessário para travar aquecimento global
",água do rio corre para o mar.,"para cá do Marão, mandam os que cá estão, para lá do Marão, mandam os que de cá vão.","antes de tudo julgar, é necessário conhecer.",a ordem dos fatores não altera o produto.,a água é tão útil às plantas como o alimento aos animais.,"de Santa Luzia ao Natal, um salto de pardal, de Natal a Janeiro, um salto de carneiro.",ladrão que rouba a ladrão tem cem anos de perdão.,ninguém aponte as faltas alheias com o dedo sujo.
"Ponto por ponto. Tudo o que está em causa na cimeira do clima em Madrid
",no meio é que está a virtude.,em Outubro pega tudo.,"quem conta um conto, acrescenta um ponto.","mal por mal, antes na cadeia do que no hospital.",na confiança está o perigo.,"mal por mal, antes na cadeia do que no hospital.","fica tudo como dantes, quartel-general em Abrantes.",mais depressa se apanha um mentiroso que um coxo.
"Pretende reduzir as emissões de gases de efeito estufa? Esteja atento às tecnologias digitais
",de fartas ceias estão as sepulturas cheias.,às três é de vez.,às três é de vez.,nunca desprezes as dádivas de hoje pelas promessas de amanhã.,a ordem dos fatores não altera o produto.,nunca desprezes as dádivas de hoje pelas promessas de amanhã.,nunca desprezes as dádivas de hoje pelas promessas de amanhã.,"se o trabalho dá saúde, que trabalhem os doentes."
"Temperatura da Terra vai subir mesmo que compromissos sejam cumpridos
",vai muito do dizer ao fazer.,tanto é ladrão o que vai à vinha como o que fica à porta.,quem vai ao mar avia-se em terra.,a maior virtude dos que falam é calar o que não devem dizer.,a maior virtude dos que falam é calar o que não devem dizer.,"a mulher de César tem que ser, não basta parecer.","cavalga, para não cair.",os olhos pedem mais do que a barriga aguenta.
"Parlamento Europeu declara “emergência climática e ambiental”
",obdece e saberás mandar.,a abelha não leva chumbo.,a abelha não leva chumbo.,o homem põe e Deus dispõe.,à mulher de César não basta parecer.,sogro e sogra milho e feijão só dão resultado debaixo do chão.,quem parte velho paga novo.,"em Dezembro, a uma lebre, galgos cento."
"""Quanto mais a Amazónia arde, mais derrete o gelo dos Andes""
",os olhos pedem mais do que a barriga aguenta.,"quanto mais depressa, mais devagar.","quanto mais depressa, mais devagar.",os olhos pedem mais do que a barriga aguenta.,"quanto mais depressa, mais devagar.",os olhos pedem mais do que a barriga aguenta.,lenha verde pouco acende e quem muito dorme pouco aprende.,"mais vale uma vista do dono, que cem brados do abegão."
"Milhares de jovens juntam-se em Lisboa em defesa do clima
",de pequenino se constrói o destino.,"quanto mais se semeia em desejos, menos se colhe em felicidade.",a melhor defesa é o ataque.,"desconfiai de vós, dos homens e do mundo, mas confiai em Deus.","desconfiai de vós, dos homens e do mundo, mas confiai em Deus.",não se fala de corda em casa de enforcado.,"zombai do tolo em casa, zombará convosco na praça.",muitos comandantes levam o navio pela encosta acima.
"Do clima ao Brexit: os desafios da Comissão Von der Leyen
",a ignorância é o pior de todos os males.,o temor do Senhor é o princípio da sabedoria.,"se a vida lhe der um limão, faça uma limonada.","mais do que o dado, vale a maneira de o dar.",todos os caminhos vão dar a Roma.,"a amenidade no semblante, anuncia a bondade do coração.","se a vida lhe der um limão, faça uma limonada.","lisboa é praça de armas, Coimbra dos estudantes, Porto dos mercadores, Vila Real dos amantes."
"Greve global: Esperados mais de 100 mil manifestantes nas ruas de 153 paises em defesa do planeta
","mais vale andar no mar alto, que nas bocas do mundo.","em casa de ferreiro, espeto de pau.","em abril, águas mil.","desconfiai de vós, dos homens e do mundo, mas confiai em Deus.","desconfiai de vós, dos homens e do mundo, mas confiai em Deus.","desconfiai de vós, dos homens e do mundo, mas confiai em Deus.","em terra de sapos, de cócoras como eles.","lisboa é praça de armas, Coimbra dos estudantes, Porto dos mercadores, Vila Real dos amantes."
"Lisboa vai plantar 20 mil árvores e preparar-se para as alterações climáticas
",amor e fé nas obras se vê.,"juntam-se as comadres, descobrem-se as verdades.",dinheiro não nasce nas árvores.,"para baixo todos os santos ajudam, para cima é que as coisas mudam.",dinheiro não nasce nas árvores.,"ignora as causas, quem se pasma dos efeitos.",nunca desprezes as dádivas de hoje pelas promessas de amanhã.,a Arca de Noé foi construída por amadores; os profissionais construíram o Titanic.
"O antes e depois do degelo nos glaciares da Suíça
",mata primeiro o elefante e depois arranca-lhe os pelos da cauda.,depois da tempestade vem a bonança.,mais vale uma palavra antes que duas depois.,"desconfiai de vós, dos homens e do mundo, mas confiai em Deus.","depois do mal feito, todos o tinham previsto.","a amenidade no semblante, anuncia a bondade do coração.",águas passadas não movem moinhos.,"azeite de cima, mel do meio e vinho do fundo, não enganam o mundo."
"Cientistas alertam que vários dos “piores cenários climáticos” já estão a acontecer
",os olhos pedem mais do que a barriga aguenta.,"a lição dos exemplos instrui muito mais, que a dos preceitos.","não desespera quem já nada espera, porque já não tem inquietações.","a lição dos exemplos instrui muito mais, que a dos preceitos.",os últimos são sempre os primeiros.,os olhos pedem mais do que a barriga aguenta.,"não desespera quem já nada espera, porque já não tem inquietações.","as multidões sempre estão nos extremos, quando não tremem, ameaçam."
"""Até 2030 o mundo tem de reduzir anualmente 7,6% das suas emissões de gases de estufa""
",até S. Pedro o vinho tem medo..,"cachorro mordido de cobra, tem medo até de barbante.","cachorro mordido de cobra, tem medo até de barbante.","desconfiai de vós, dos homens e do mundo, mas confiai em Deus.","desconfiai de vós, dos homens e do mundo, mas confiai em Deus.","longe da vista, longe do coração.","biscoito de freira, fanga de trigo.",a Arca de Noé foi construída por amadores; os profissionais construíram o Titanic.
"Ciclones tropicais vão ser cada vez mais frequentes na Europa
","em desterro, dá a pobreza mais tormento.",os vivos são sempre e cada vez mais governados pelos mais vivos.,os vivos são sempre e cada vez mais governados pelos mais vivos.,os vivos são sempre e cada vez mais governados pelos mais vivos.,os vivos são sempre e cada vez mais governados pelos mais vivos.,"mais vale ficar vermelho cinco minutos,que amarelo toda a vida.",mais vale ser feliz que rico.,muitos comandantes levam o navio pela encosta acima.
"A Terra Inabitável. Quando o terror é a reacção adequada
","quando a esmola é grande, o pobre desconfia.","quando a passarada berra, o marinheiro procura terra.","quando a passarada berra, o marinheiro procura terra.",é a fome e o frio que põe a lebre a caminho.,nem tanto ao mar nem tanto à terra.,é a fome e o frio que põe a lebre a caminho.,"boa noite após mau tempo, traz depressa chuva ou vento.","é mais abjecto que o miserável, quem lhe insulta a desgraça."
"Urgência climática: OCDE quer que doadores parem de subsidiar combustíveis fósseis nos países em desenvolvimento
","em questões de amor e bravura, os que mais roncam são os que menos fazem.","quem diz o que quer, ouve o que não quer.","quem diz o que quer, ouve o que não quer.","em questões de amor e bravura, os que mais roncam são os que menos fazem.","na boda dos pobres, tudo são vozes.","na boda dos pobres, tudo são vozes.","fica tudo como dantes, quartel-general em Abrantes.",sem nuvens o céu e estrelas sem brilho verás que a tormenta te põe num sarilho.
"Canal de Suez faz 150 anos ameaçado pela rota num Ártico sem gelo
",de tostão em tostão se faz um milhão.,"quando de faz uma panela, faz-se o testo para ela.",sem nuvens o céu e estrelas sem brilho verás que a tormenta te põe num sarilho.,mais vale ter um pássaro na mão do que dois a voar.,"há mar e mar, há ir e voltar.",mais vale ter um pássaro na mão do que dois a voar.,"vermelho nascente que pronto descora, tempo de chuva que está p'ra demora.",quem tem telhado de vidro não atira pedras ao do vizinho.
"Clima: portugueses acreditam que protestos podem gerar novas políticas
",antes dentes que parentes.,"carne que baste, vinho que farte, pão que sobre.","barcos virão, novas trarão.","em questões de amor e bravura, os que mais roncam são os que menos fazem.","em questões de amor e bravura, os que mais roncam são os que menos fazem.",esta vida são dois dias e o Carnaval são três.,"barcos virão, novas trarão.",muitos comandantes levam o navio pela encosta acima.
"“Ainda não é demasiado tarde para salvarmos os oceanos”
","para conhecer os homens, é preciso ter sofrido.","quem não é para comer, não é para trabalhar.",saber demasiado é envelhecer precocemente.,"quem não é para comer, não é para trabalhar.","para baixo todos os santos ajudam, para cima é que as coisas mudam.","nada é tão bem empregado, como aquilo que se dá aos que precisam.",os vivos são sempre e cada vez mais governados pelos mais vivos.,não deixe para amanhã o que você pode fazer hoje.
"Nações Unidas alertam que temperatura do planeta vai aumentar
",o tempo que vai não volta.,mais vale um que bem mande do que dois que mal façam.,"quem vai, vai, quem está, está.","mais do que o dado, vale a maneira de o dar.",a água é tão útil às plantas como o alimento aos animais.,mais vale prevenir do que remediar.,"amigos que desaparecem, esquecem.","não ponhas dúvidas, nem faças contendas sem que saibas a quem te diriges."
"A 29 de Novembro há nova Greve Climática Estudantil — para inaugurar a “época de ouro do activismo”
",guardado está o bocado para quem o há de comer.,a palavra é de prata e o silêncio é de ouro.,ouro é o que ouro vale.,a verdade na arte é apenas a sinceridade das impressões do artista.,"março, marçagão, manhã de inverno, tarde de verão.",a verdade na arte é apenas a sinceridade das impressões do artista.,"manhã de nevoeiro, tarde de calmeiro.",a boca do ambicioso só se fecha com terra de sepultura.
"Clima – 10 resoluções para 2020
",dividir para reinar.,"a aversão é para o coração, o que a prevenção é para o espírito.","quem não é para comer, não é para trabalhar.","o Sol nasce para todos, e a sombra para poucos.","o Sol nasce para todos, e a sombra para poucos.","janeiro geadeiro, Fevereiro rego cheio, Março coreiro, Abril águas mil caibam todas num barril, Maio amoroso, Junho calmoso e Julho ventoso, fazem o ano formoso.","janeiro geadeiro, Fevereiro rego cheio, Março coreiro, Abril águas mil caibam todas num barril, Maio amoroso, Junho calmoso e Julho ventoso, fazem o ano formoso.",gato escaldado de água fria tem medo.
"Nova meta de inflação e combate ao aquecimento global. O BCE redefine a sua missão
",o magnânimo tem por sua a honra dos seus.,"de Santa Luzia ao Natal, um salto de pardal, de Natal a Janeiro, um salto de carneiro.","quem mais não pode, de sua mazela morre.",dar a César o que é de César e a Deus o que é de Deus.,"a boa fé é uma moeda, que quase não tem curso no comércio da vida.",o seguro morreu de velho e a previdência foi ao enterro.,cada cabeça sua sentença.,"se Deus não defende a cidade, debalde a vigiam seus guardas."
"Nível atual de emissão de gases vai elevar a temperatura mais três graus
",vai muito do dizer ao fazer.,"nove meses de Inverno, três de inferno.",às três é de vez.,"vozes da aldeia, não crer nem em meia; vozes da cidade, a metade da metade.",a ordem dos fatores não altera o produto.,"vozes da aldeia, não crer nem em meia; vozes da cidade, a metade da metade.","nove meses de Inverno, três de inferno.",quem tem telhados de vidro não atira pedras.
"Malásia devolve 150 contentores ilegais de lixo a países desenvolvidos
",a água de Janeiro vale dinheiro.,"de médico, de sábio e de louco todos temos um pouco.","quem faz de si, lixo, pisam-no as galinhas.",a ordem dos fatores não altera o produto.,os fins (não) justificam os meios.,"vozes da aldeia, não crer nem em meia; vozes da cidade, a metade da metade.","quem ovos vende e galinhas não tem, de algum lado eles vêm.",a boca do ambicioso só se fecha com terra de sepultura.
"Relógio do Apocalipse coloca humanidade a 100 segundos do fim
",a ignorância é a mãe do atrevimento.,a grama é sempre mais verde do lado do vizinho.,"mais vale o calar do mundo, que o falar do mentiroso.","mais do que o dado, vale a maneira de o dar.",quem dá e torna a tirar ao inferno vai parar.,"mais do que o dado, vale a maneira de o dar.",quem tem cem mas deve cem pouco tem.,a boca do ambicioso só se fecha com terra de sepultura.
"""Tempestade """"Glória"""" fez 12 mortos em Espanha. Governo culpa alterações climáticas""
","gaivotas em terra, tempestade no mar.","gaivotas em terra, tempestade no mar.",a culpa morre solteira.,na morte e na boda verás quem te honra.,nem tanto ao mar nem tanto à terra.,em Julho fazer vasculho.,"janeiro geadeiro, Fevereiro rego cheio, Março coreiro, Abril águas mil caibam todas num barril, Maio amoroso, Junho calmoso e Julho ventoso, fazem o ano formoso.","poente nubloso, vermelho acobreado safa a japona, que o tempo é molhado."
"Impacto mais antigo de um asteroide na Terra ocorreu na Austrália há 2.229 milhões de anos
",mais vale um pássaro na mão do que dois a voar.,"de médico, de sábio e de louco todos temos um pouco.",mais vale um gosto na vida que seis reis na algibeira.,mais vale ter um pássaro na mão do que dois a voar.,criados e bois - nem menos de um ano nem mais de dois.,"zombai do tolo em casa, zombará convosco na praça.","de médico, de sábio e de louco todos temos um pouco.",a ignorância força-nos a fazer duas vezes o mesmo caminho.
"Atuais emissões de gases vão provocar aumento de três graus nas temperaturas
",nas costas dos outros vejo as minhas.,"nove meses de Inverno, três de inferno.","mulher que nas juras de homem se fia, chora de noite e de dia.",às três é de vez.,a ordem dos fatores não altera o produto.,nunca desprezes as dádivas de hoje pelas promessas de amanhã.,"nove meses de Inverno, três de inferno.",quem tem telhados de vidro não atira pedras.
"Quer combater o aquecimento global? Plante uma árvore
",o hábito é uma segunda Natureza.,uma mulher é sempre uma interrogação.,"quem quer faz, quem não quer manda.","o ar que cada um se quer dar, não vale o que procura deixar.",por uma besta dar um coice não se lhe corta uma perna.,o hábito é uma segunda Natureza.,"não destrua a árvore, para depois ter seu fruto.","é mais abjecto que o miserável, quem lhe insulta a desgraça."
"Veredicto abre a porta a protecção para “refugiados climáticos”
",para trás mija a burra.,"a aversão é para o coração, o que a prevenção é para o espírito.","abre o olho, que assam carne.",é a fome e o frio que põe a lebre a caminho.,estar a olhar para qualquer coisa como um boi para um palácio.,"abrir a alma à ambição, é fecha-la ao sossego.",Deus nunca fechou uma porta que não abrisse outra.,barriga vazia não conhece alegria.
"PAN propõe fim da isenção do imposto do petróleo para avião e barcos
",a palavra é de prata e o silêncio é de ouro.,a grama é sempre mais verde do lado do vizinho.,"barcos virão, novas trarão.","mais do que o dado, vale a maneira de o dar.",quem vai ao mar perde o lugar.,não vendas a pele do urso antes de o matar.,"mais vale pão duro, que nenhum.",de grão em grão a galinha enche o papo.
"Judoca Jorge Fonseca galardoado com o prémio Ética no Desporto de 2019
",não contes com o ovo no cu da galinha.,com um olho no burro e o outro no cigano.,com um olho no burro e o outro no cigano.,com um olho no burro e o outro no cigano.,a palavra é de prata e o silêncio é de ouro.,com um olho no burro e o outro no cigano.,mais vale ser rabo de pescada que cabeça de sardinha.,cão que levou mordida de cobra tem medo de salsicha.
"Paulo Gonçalves condecorado a título póstumo com Colar de Honra ao Mérito Desportivo
",o magnânimo tem por sua a honra dos seus.,"de Santa Luzia ao Natal, um salto de pardal, de Natal a Janeiro, um salto de carneiro.","o ódio dos maus, honra o homem de bem.",foge o diabo da cruz e o morcego da luz.,"o maior revés nada vale, quando a honra fica de pé.",a lisonja é incompatível com a nobreza de carácter.,"lua com halo de grande aparato, É molha certa prá gente de quarto.",a boca do ambicioso só se fecha com terra de sepultura.
"Judocas Jorge Fonseca e Patrícia Sampaio eleitos atletas do ano na Gala do Desporto
",a esperteza do tolo sempre redunda em velhacaria.,a grama é sempre mais verde do lado do vizinho.,"mais vale o calar do mundo, que o falar do mentiroso.","desconfiai de vós, dos homens e do mundo, mas confiai em Deus.",santos da casa não fazem milagres.,"de Santa Luzia ao Natal, um salto de pardal, de Natal a Janeiro, um salto de carneiro.","junho calmoso, ano formoso.",não suba o sapateiro além da chinela.
"Óculos de natação com realidade aumentada
",gato escondido com o rabo de fora.,a lisonja é incompatível com a nobreza de carácter.,"se não vejo pelos meus olhos, vejo pelos meus óculos.",a boca do ambicioso só se fecha com terra de sepultura.,a criança é com os arbustosinhos; também precisa de um arrimo.,"casa de pais, escola de filhos.","lua com halo de grande aparato, É molha certa prá gente de quarto.",nuvem comprida que se desfia sinal de grande ventania.
"De pequenino se começa a rolar no primeiro skatepark do Porto
",de pequenino se constrói o destino.,de pequenino se constrói o destino.,de manhã é que começa o dia.,"o que se não faz no dia da romaria, faz-se no outro dia.",a boca do ambicioso só se fecha com terra de sepultura.,"o testamento do pobre é breve, na unha se escreve.","vento sudoeste mansinho e panga É de tremer dele, quando se zanga.","poucos fuzis, trovões em barda, rumo em que o vento se alaparda."
"Única medalhada do Irão desertou: “Sou uma de milhões de mulheres oprimidas”
","quando de faz uma panela, faz-se o testo para ela.","de médico, de sábio e de louco todos temos um pouco.","não sou rio, para não voltar atraz.","desconfiai de vós, dos homens e do mundo, mas confiai em Deus.","desconfiai de vós, dos homens e do mundo, mas confiai em Deus.","de médico, de sábio e de louco todos temos um pouco.",mais vale ser rabo de pescada que cabeça de sardinha.,"poente nubloso, vermelho acobreado safa a japona, que o tempo é molhado."
"Reações à morte do ""Speedy"", o altruísta que parou para ajudar um rival no deserto
",mais vale um pássaro na mão do que dois a voar.,cada um é para o que nasce.,"pregar no deserto, é sermão perdido.","mais do que o dado, vale a maneira de o dar.",quem o seu cão quer matar chama-lhe raivoso.,"à boda do ferreiro, cada um com o seu dinheiro.","para um mau profissional, nenhuma ferramenta lhe serve.","coube sempre o melhor quinhão, a quem mais força teve, e não razão."
"Magia dos patins faz a Oliveirense crescer no hóquei
",a beleza está nos olhos de quem vê.,"o que se não faz no dia da romaria, faz-se no outro dia.","o que se não faz no dia da romaria, faz-se no outro dia.",mais vale um pássaro na mão do que dois a voar.,"dois pardais numa espiga, nunca fazem liga.","a amenidade no semblante, anuncia a bondade do coração.","quem tem sangue, faz chouriços.",miragem que espante vento do levante.
"Kobe Bryant, o fim trágico de uma estrela
","quando de faz uma panela, faz-se o testo para ela.","senhoria de Itália, Dom de Espanha - não valem uma castanha.",uma mulher é sempre uma interrogação.,"mais vale uma vista do dono, que cem brados do abegão.","mais vale uma vista do dono, que cem brados do abegão.","mais vale uma vista do dono, que cem brados do abegão.","mais vale uma vista do dono, que cem brados do abegão.","poente nubloso, vermelho acobreado safa a japona, que o tempo é molhado."
"Presidente da federação de Andebol diz que Tóquio2020 seria ""topo do topo""
",sol de Janeiro dá que fazer ao coveiro.,"mais do que o dado, vale a maneira de o dar.","ninguém seria vendeiro, se não fosse o dinheiro.",dar a César o que é de César e a Deus o que é de Deus.,"longe da vista, longe do coração.","longe da vista, longe do coração.",do alto cai quem alto sobe.,"de Santa Luzia ao Natal, um salto de pardal, de Natal a Janeiro, um salto de carneiro."
"Mais rápido, mais alto, mais forte. Um calendário para homenagear os paralímpicos
",os amigos são para as ocasiões.,mais alto é aquele que mais tem.,mais alto é aquele que mais tem.,mais alto é aquele que mais tem.,mais alto é aquele que mais tem.,mais vale um que bem mande do que dois que mal façam.,"quanto mais depressa, mais devagar.","poucos fuzis, trovões em barda, rumo em que o vento se alaparda."
"Seleção portuguesa de andebol recebida com fortes aplausos na chegada a Lisboa
",não contes com o ovo no cu da galinha.,a lisonja é incompatível com a nobreza de carácter.,geada na lama água na cama.,"vozes da aldeia, não crer nem em meia; vozes da cidade, a metade da metade.","vozes da aldeia, não crer nem em meia; vozes da cidade, a metade da metade.","vozes da aldeia, não crer nem em meia; vozes da cidade, a metade da metade.","chuva miúda e neve aturada, são bom alimento de terra lavrada.",vozes de burro não chegam aos céus.
"Atletas de 22 nacionalidades correram na Meia Maratona Manuela Machado
",a beleza está nos olhos de quem vê.,"de médico, de sábio e de louco todos temos um pouco.","a bom entendedor, meia palavra basta.","vozes da aldeia, não crer nem em meia; vozes da cidade, a metade da metade.",em Janeiro uma hora por inteiro e quem bem contar hora e meia há-de encontrar.,"vozes da aldeia, não crer nem em meia; vozes da cidade, a metade da metade.",às três é de vez.,"de couves cruas, mulheres nuas e lautas ceias estão as sepulturas cheias."
"Paulo Gonçalves. Uma vida de suor dedicada a correr na areia em imagens
","a boa fé é uma moeda, que quase não tem curso no comércio da vida.","em casa de ferreiro, espeto de pau.",mais vale um gosto na vida que seis reis na algibeira.,a verdade na arte é apenas a sinceridade das impressões do artista.,"a boa fé é uma moeda, que quase não tem curso no comércio da vida.",geada na lama água na cama.,"fica tudo como dantes, quartel-general em Abrantes.",de grão em grão a galinha enche o papo.
"Queda impressionante de jogador interrompe Benfica-F.C. Porto em basquetebol
","no Natal, passadinha de Natal.","em casa de ferreiro, espeto de pau.","quanto mais alto, maior é a queda.","bom tempo no Inverno e mau no estio - mau ano de fome, bom ano de frio.","o maior revés nada vale, quando a honra fica de pé.","em casa de ferreiro, espeto de salgueiro.","fica tudo como dantes, quartel-general em Abrantes.",cão que levou mordida de cobra tem medo de salsicha.
"Ford experimenta um novo combustível: óleo de cozinha
",cada um come do que faz.,"de Santa Luzia ao Natal, um salto de pardal, de Natal a Janeiro, um salto de carneiro.",cozinha sem salsa é como jarra sem flores.,"azeite de cima, mel do meio e vinho do fundo, não enganam o mundo.",água pelo São João tira azeite e não dá pão.,"de Santa Luzia ao Natal, um salto de pardal, de Natal a Janeiro, um salto de carneiro.","o macaco mesmo coberto com a pele dum carneiro, é sempre um macaco.",a Arca de Noé foi construída por amadores; os profissionais construíram o Titanic.
"Escócia terá energia 100% renovável até ao final de 2020
",até ao lavar dos cestos é vindima.,"cachorro mordido de cobra, tem medo até de barbante.",até ao lavar dos cestos é vindima.,"mais do que o dado, vale a maneira de o dar.",mais vale um ano à volta que nunca a casa.,"mais do que o dado, vale a maneira de o dar.",aprender até morrer.,em zanga de marido e mulher não se mete a colher.
"Em Idanha-a-Nova vai crescer um aldeamento sustentável para viver ou visitar
","para amigo íntimo, basta um, colhido na adversidade.",estar a olhar para qualquer coisa como um boi para um palácio.,"come para viver, não vivas para comer.",estar a olhar para qualquer coisa como um boi para um palácio.,estar a olhar para qualquer coisa como um boi para um palácio.,"para amigo íntimo, basta um, colhido na adversidade.","para amigo íntimo, basta um, colhido na adversidade.","receia-se menos um bravo em cólera, que um cobarde que dissimula."
"Um museu temporário para mudar comportamentos para sempre
","amor ardente, amor para sempre.",estar a olhar para qualquer coisa como um boi para um palácio.,"quem não é para comer, não é para trabalhar.",estar a olhar para qualquer coisa como um boi para um palácio.,estar a olhar para qualquer coisa como um boi para um palácio.,estar a olhar para qualquer coisa como um boi para um palácio.,estar a olhar para qualquer coisa como um boi para um palácio.,tantas vezes vai o cântaro à fonte que um dia se quebra.
"Destruídos 41 mil ninhos de vespa-asiática em cinco anos
","em abril, águas mil.","em abril, águas mil.","em abril, águas mil.","nove meses de Inverno, três de inferno.","nove meses de Inverno, três de inferno.","em abril, águas mil.","em abril, águas mil.",a Arca de Noé foi construída por amadores; os profissionais construíram o Titanic.
"""Não é com mais barragens"" que se resolve falta de água, mas também pode ser
",não é com vinagre que se apanham moscas.,não é com vinagre que se apanham moscas.,quem pode o mais pode o menos.,assás é de pouco saber quem se mata pelo que não pode haver.,assás é de pouco saber quem se mata pelo que não pode haver.,assás é de pouco saber quem se mata pelo que não pode haver.,"a mulher de César tem que ser, não basta parecer.","se a vida lhe der um limão, faça uma limonada."
"ONU critica inação no Pinhal de Leiria
","no Natal, passadinha de Natal.","calcanhar de homem, cu de mulher e nariz de cão só aquecem no Verão.",um olho no burro e outro no cigano.,"mal por mal, antes na cadeia do que no hospital.","março, marçagão, de manhã Inverno, à tarde Verão.","zombai do tolo em casa, zombará convosco na praça.","senhoria de Itália, Dom de Espanha - não valem uma castanha.",a ignorância da lei não desculpa a ninguém.
